Rule_ID,Recon_Code,ZONE,STATE,LOCATION,PRODUCT,SUB_PRODUCT,BUSINESS_TYPE,SUB_LINE,INSURER_NAME,INFLOW
RAW_000075,AP3GC292T,SOUTH,ANDHARA PRADESH,ROAP,GCV,4W - 20000 TO 40000 GVW,RO/RN,TP,CHOLA,19.50%{NT(W/O CPA -2% Less)
RAW_000076,AP3GC262P,SOUTH,ANDHARA PRADESH,ROAP,GCV,4W - 3500 TO 7500 GVW,RO/RN,PKG,CHOLA,14.50%{NT(W/O CPA -2% Less)
RAW_000077,AP3GC262T,SOUTH,ANDHARA PRADESH,ROAP,GCV,4W - 3500 TO 7500 GVW,RO/RN,TP,CHOLA,9.50%{NT(W/O CPA -2% Less)
RAW_000078,AP3GC272P,SOUTH,ANDHARA PRADESH,ROAP,GCV,4W - 7500 TO 12000 GVW,RO/RN,PKG,CHOLA,22.00%{NT(W/O CPA -2% Less)
RAW_000079,AP3GC272T,SOUTH,ANDHARA PRADESH,ROAP,GCV,4W - 7500 TO 12000 GVW,RO/RN,TP,CHOLA,9.50%{NT(W/O CPA -2% Less)
RAW_000080,AP3GC302P,SOUTH,ANDHARA PRADESH,ROAP,GCV,4W - ABOVE 40000 GVW,RO/RN,PKG,CHOLA,"24.50%{NT(W/O CPA -2% Less - Above 43K to 47.5K Ton),22.00%{NT(W/O CPA -2% Less - Upto 43K Ton),19.50%{NT(W/O CPA -2% Less - Above 47.5K to 56K Ton)"
RAW_000081,AP3GC302T,SOUTH,ANDHARA PRADESH,ROAP,GCV,4W - ABOVE 40000 GVW,RO/RN,TP,CHOLA,"24.50%{NT(W/O CPA -2% Less - Upto 43K Ton),19.50%{NT(W/O CPA -2% Less - Above 43K to 47.5K Ton),14.50%{NT(W/O CPA -2% Less - Above 47.5K to 56K Ton)"
RAW_000082,AP3GC222P,SOUTH,ANDHARA PRADESH,ROAP,GCV,GCV 3W,RO/RN,PKG,CHOLA,37.00%{NT(W/O CPA -2% Less)
RAW_000083,AP3GC222T,SOUTH,ANDHARA PRADESH,ROAP,GCV,GCV 3W,RO/RN,TP,CHOLA,32.00%{NT(W/O CPA -2% Less)
RAW_000084,AP3MI332P,SOUTH,ANDHARA PRADESH,ROAP,MISC-D,MISC D,RO/RN,PKG,CHOLA,"35.00%{NT(W/O CPA -2% Less - HARVESTOR),30.00%{NT(W/O CPA -2% Less - Loader, Excavators/Earth Movers, Crane, Bulldozers/Bullgraders, Road Rollers, Fork Lift Trucks)"
